"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Smithfield","All Parts Auto Smithfield18 Little Street","8:15am to 9:15am on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Bonnyrigg Plaza100 Bonnyrigg Avenue","12pm to 12:30pm on Thursday 15 July 202110:15am to 10:30am on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Parramatta","Chemist Warehouse Parramatta202 Church Street","10:30am to 11:30am on Thursday 15 July 20213:30pm to 4:30pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Chemistworks Wetherill ParkStockland Wetherill Park, 561-583 Polding Street","3pm to 3:30pm on Thursday 15 July 20212:15pm to 2:30pm on Thursday 15 July 20218pm to 8:15pm on Wednesday 14 July 20212:45pm to 3:45pm on Saturday 10 July 202111:30am to 12:15pm on Monday 5 July 20215:30pm to 6:30pm on Sunday 4 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wallsend","Coles Express Wallsend14 Thomas Street","2:45pm to 3pm on Saturday 17 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Coles FairfieldFairfield Forum, 8/36 Station Street","12:15pm to 12:35pm on Wednesday 14 July 202111:20am to 11:45am on Tuesday 13 July 20213:30pm to 3:45pm on Sunday 11 July 20216:55pm to 7:25pm on Sunday 11 July 20217:20pm to 7:35pm on Wednesday 7 July 20218:20pm to 8:30pm on Wednesday 7 July 202112:10pm to 12:30pm on Saturday 3 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield West","Coles Fairfield WestMarkey Plaza, 386 Hamilton Road","3:30pm to 4:30pm on Thursday 15 July 202112:30pm to 1:30pm on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Mt Druitt","Coles Mt DruittWestfield Mt Druitt, Luxford Road and Carlisle Avenue","1:25pm to 2pm on Tuesday 13 July 20218:20am to 9:20am on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rose Bay","Coles Rose Bay694 Old South Head Road","6pm to 7pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Seven Hills","Donut King Seven HillsShop 9 Centro Seven Hills, Corner Prospect Highway and Federal Road","7am to 5pm on Thursday 15 July 20217am to 4pm on Wednesday 14 July 20217am to 4pm on Tuesday 13 July 20217am to 4pm on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Fairfield Forum Market1/64-72 Ware Street","10am to 12pm on Friday 16 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Fruit World BonnyriggBonnyrigg Plaza, 100 Bonnyrigg Avenue","12:45pm to 2pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wakeley","IGA Wakeley Lomond Street and Bulls Road","6:00pm to 7:15pm on Tuesday 13 July 20215pm to 5:45pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","JB HiFi Wetherill ParkStockland Wetherill Park, 561-583 Polding Street","2:45pm to 3:10pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Metro Petroleum Fairfield82 Hamilton Road","2:15pm to 2:25pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Crows Nest","newsXpress25 Willoughby Road","12:45pm to 12:45pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Optus Wetherill Park Stockland Wetherill Park, 561-583 Polding Street","2:30pm to 3:10pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Homebush West","Paddys Market FlemingtonBuilding D/250-318 Parramatta Road","5am to 7:30am on Friday 16 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Priceline Pharmacy BonnyriggShop 20, Bonnyrigg Plaza, 100 Bonnyrigg Avenue","12pm to 12:30pm on Thursday 15 July 202110:15am to 10:30am on Wednesday 14 July 20211pm to 2pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Double Bay","Romic Moore PropertyLevel 1, Suite 5, 9-11 Knox Street","6am to 6pm on Thursday 15 July 20216am to 6pm on Wednesday 14 July 20216am to 6pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Sinbad Market4/35 Spencer Street","12:30pm to 1pm on Friday 16 July 202112pm to 2:30pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Vodafone Wetherill ParkStockland Wetherill Park, 561-583 Polding Street","2:40pm to 3pm on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bonnyrigg","Woolworths Bonnyrigg Plaza100 Bonnyrigg Avenue","10am to 10:30am on Monday 12 July 20217:30pm to 8:30pm on Monday 5 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield Heights","Woolworths Fairfield HeightsFairfield Heights Shopping Mall, 186 The Boulevarde","12pm to 12:30pm on Saturday 17 July 20212:20pm to 3:00pm on Thursday 15 July 202111:40am to 12pm (noon) on Tuesday 13 July 20219pm to 9:30pm on Sunday 11 July 20218pm to 8:25pm on Sunday 11 July 20215:20pm to 6pm on Saturday 10 July 20219:35pm to 10pm on Saturday 10 July 202112:40pm to 12:55pm on Saturday 10 July 202111:10am to 11:40am on Friday 9 July 20215:40pm to 7pm on Thursday 8 July 20216pm to 7pm on Thursday 8 July 20216:45pm to 7:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"19/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belrose","Woolworths Glenrose Village56-58 Glen Street","10:30am to 11am on Wednesday 14 July 20218:30am to 8:40am on Saturday 10 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately and self-isolate for 14 days.","Lakemba","Afghan Sufra Lakemba 122 Haldon Street","2:50pm to 3:15pm on Saturday 17 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"18/07/2021","Get tested immediately and self-isolate for 14 days.","Hurstville","Coles Hurstville WestfieldLevel 1, Westfield Hurstville, Cross Street and Park Road","9:10am to 10am on Tuesday 13 July 20219:15am to 6:15pm on Monday 12 July 202112pm to 12:30pm on Saturday 10 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"18/07/2021","Get tested immediately and self-isolate for 14 days.","Merrylands","Kabab Al Hojat 2/254 Pitt Street","6:45pm to 7:15pm on Tuesday 13 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"18/07/2021","Get tested immediately and self-isolate for 14 days.","South Bowenfels","Shell Coles Express LithgowLot 1 Great Western Highway (corner of Magpie Hollow Road)","6:20am to 6:40am on Friday 16 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"18/07/2021","Get tested immediately and self-isolate until you receive further advice.","Greenacre","Aussie Skips 14 and 14 Bellfrog Street","All day on Thursday 15 July 2021All day on Wednesday 14 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate. Remain in isolation until further advice is provided by NSW Health."
"18/07/2021","Get tested immediately and self-isolate until you receive further advice.","Raglan","BP Truckstop Raglan39 Sydney Road","7pm to 7:30pm on Friday 16 July 20217:15pm to 7:45pm on Thursday 15 July 20217pm to 7:45pm on Wednesday 14 July 20217pm to 7:30pm on Tuesday 13 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate. Remain in isolation until further advice is provided by NSW Health."
"18/07/2021","Get tested immediately and self-isolate until you receive further advice.","Pendle Hill","Pendle Hill Medical Centre113A Pendle Way","9am to 9:30am on Friday 16 July 2021","Anyone who attended this venue is a close contact and must immediately get tested and self-isolate. Remain in isolation until further advice is provided by NSW Health."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Chemist Warehouse Fairfield8 Kenyon Street","1:30pm to 2:30pm on Thursday 15 July 20212:45pm to 3:40pm on Wednesday 7 July 202112pm to 2pm on Monday 5 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Roselands","Coles RoselandsRoselands Shopping Centre, 24 Roselands Drive","7:10pm to 7:30pm on Tuesday 13 July 20213:15pm to 4:05pm on Wednesday 7 July 202110:30am to 11am on Monday 5 July 20217:15am to 7:45am on Saturday 3 July 202110:30am to 11am on Thursday 1 July 202110:30am to 11am on Wednesday 30 June 20214:45pm to 5:45pm on Wednesday 30 June 20217:45am to 7:50am on Wednesday 30 June 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","EB Games FairfieldShop G24 Neeta City, 1 Court Road","3:30pm to 4:30pm on Friday 16 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Brookvale","Edcon Steel Brookvale 10A/9-13 Winbourne Rd Brookvale NSW 2100","1:15pm to 1:30pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Fairfield Forum BakeryFairfield Forum, 8/36 Station Street","4pm to 4:40pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Fairfield Forum PharmacyFairfield Forum, 8/36 Station Street","11:45am to 11:50am on Tuesday 13 July 20211:45pm to 2:10pm on Monday 12 July 202110am to 10:30am on Saturday 10 July 20211:45pm to 2:05pm on Friday 9 July 20213:55pm to 4:10pm on Friday 9 July 202112pm to 5pm on Thursday 8 July 202110:45am to 12:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Fairfield Lucky Bakery4 Station Street","4pm to 4:40pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","FruitmaniaFairfield Forum, 8/36 Station Street","12:10pm to 1:15pm on Wednesday 14 July 20213pm to 4pm on Saturday 10 July 202112:20pm to 12:35pm on Friday 9 July 20214pm to 4:40pm on Friday 9 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Belmore","Gong Cha Shop 16/10/358 Burwood Road","4:15pm to 4:30pm on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Marsden Park","IKEA Marsden Park1 Hollinsworth Road","8am to 4pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Roselands","Kmart RoselandsRoselands Shopping Centre, 24 Roselands Drive","6:30pm to 7pm on Tuesday 13 July 20215:30pm to 5:45pm on Sunday 11 July 202110:45am to 11:15am on Saturday 3 July 20214:35pm to 4:50pm on Tuesday 29 June 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Villawood","McDonalds Villawood 794-796 Woodville Road","4pm to 8:30pm on Tuesday 13 July 202110am to 2:30pm on Sunday 11 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Neeta City Shopping Centre 54 Smart Street","2:45pm to 4:30pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wentworthville","Officeworks Wentworthville 323 Great Western Highway","11:15am to 12:20pm on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","Rugs 4 StyleShop 14B Fairfield Forum Shopping Centre, 8-36 Station Street","11:15am to 11:25am on Tuesday 13 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Parramatta","Skye Suites Apartments (Residential section that shares the foyer with hotel section)30 Hunter Street","12am (midnight) to 8:30pm on Saturday 17 July 2021All day on Friday 16 July 2021All day on Thursday 15 July 20215pm to 12am (midnight) on Wednesday 14 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairfield","St George Bank Fairfield93 Ware St Fairfield","10am to 1pm on Thursday 8 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Liverpool","The Grove Homemakers Centre 2-18 Orange Grove Road","10am to 10:20am on Monday 12 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"18/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Thornleigh","TLE Electrical  4/35E Sefton Road","9:30am to 10am on Thursday 15 July 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
